LanguageId;CountryId;Name;Capital;Population;SquareArea;DensityPerKm;Flag
2;192;Armenija;Yerevan;3248706;29743;109.20;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001F4944415478DA6330C60B1846A569207D062F1895A685B40B5E302A4D0369008D41C64867B1AADA0000000049454E44AE426082
2;203;Aruba;Oranjestad;113646;193;588.80;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B70000000774494D4507D70C16082234FB788058000000097048597300001EC100001EC101C36954530000000467414D410000B18F0BFC61050000000C504C5445007FFFFFFF00FFFFFFFF0000984D12460000003B4944415478DA6360A03550C62F6D8C5796C95801AFD9C646F88C06017C9A8DF16A67C62B0B345E01BF3445C1320A480582780121E9A16BF7E0050015130C2ABCB2D45D0000000049454E44AE426082
2;204;Avstralija;Canberra;20442256;7682557;2.66;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000C94944415478DAAD933B0EC4200C44B9C288D69740DCBF70EF43ADB109BF6C2CADB22E48C46388C7A3A40A1211D4A2AB645B974A6CDC310A4EAC0A74AC27C73E5DD878C37E8F1763E0C615739E54D0DF1B56A0389749A71A5EB5F8F3C2DC71DDEBECFC1DFEFEEDCB7B805BF7CD18D4B8FA46A5ED6256EFC9A84FCD398D43A6E61693CD1C1618634BCC343D313BB9CC565BAB4BDEC8A7DAFBE998EF793F14622CBF607E83D52C420C0A30C738565BD4145EBEEFD38E8FC679F90DCC361F381C2A76F5AD58FE98D8437D001A01B922B500DBF70000000049454E44AE426082
2;213;Avstrija;Vienna;8365636;83858;99.76;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001D4944415478DA6330C60B1846A569202D88178C4AD3427A3429D25D1A00DB80A759F5C2CA570000000049454E44AE426082
2;223;Azerbajdžan;Baku;8954407;86530;103.50;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B70000000774494D4507D70C16072C1BC576D7B2000000097048597300001EC100001EC101C36954530000000467414D410000B18F0BFC61050000000C504C544500BF00FF0000FFFFFF007FFFC5D5519D0000004A4944415478DA6330C60B1846A569202D880C84941451F882A8D24A4A828AB8A585940405F1E806192D2424844F5A10C57A4CDD4AC8F224EBC66D37019713F037A150C3000CA380EE00000B5A618DEAEEDC1E0000000049454E44AE426082
2;235;Bahami;Nassau;338958;13962;24.28;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000005A4944415478DAA5D4B10DC0300C03C16F5C713E4F9BE552A6099E05D51E04C8B66878AC20CE14A6709C294CE1385398C271A630F7AF3E3ECE14A6F07166EA5E262FE7F65BBBCA59DE3BCBAEF9A6664989672C4BBEFD77D0E6E70571800E1F11657AF40000000049454E44AE426082
2;253;Bahrajn;Manama;807773;694;NULL;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000354944415478DA63108401636C804150109F0206BCB2086961634AA409184EC869C278751B13B07B34584683653458F0070B76AB8D01726CA90B2DD03DF00000000049454E44AE426082
2;265;Bangladeš;Dhaka;145386049;142615;NULL;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B70000000774494D4507D70C1607120790B29080000000097048597300001EC100001EC101C36954530000000467414D410000B18F0BFC610500000006504C5445007F3FFF0000C83512CB0000004B4944415478DA6360181E4050009F2408E0946514C4270F95C565BE200C109016C067360EED82444B0B505B9A9196D2347539A14025204D20C610DA1918F069C7951AF1A735A83CC3300100195D0EEFDD8AD02E0000000049454E44AE426082
2;330;Barbados;Bridgetown;280046;431;649.80;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000004B4944415478DAEDD3210E00200C43D19ADD6FA6A7E5723423013544B17CB9B7648280B1E3EECCF0B9246CCEC5D9738244C7716581584B2DEBB6CD594C97430C97091536BFBCD83BFF4F544D951C78BDF80A09E00000000049454E44AE426082
2;342;Belorusija;Minsk;9578121;207600;46.14;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000784944415478DAA5944B0EC0200805255C80172E52E2A247EBF56BBA7748AADB89303C3F43299BDB3524476C8C338A7048D89B7179A0DA8883E28D5A06CEED8E73DBE4CC27AB05ABF985A915626B32E7DD4DEF6473B938B53AC87C5DC5FBD9ADEFBC098BB105E29A7950BC514BE160EB851EE0F53BFC567B012A1514C9B40BD2DC0000000049454E44AE426082
